clonotype,n
B_10_3_4_187_1_3,11
B_120_2_7_210_1_17,27
B_120_2_8_210_1_11,6
B_120_2_8_210_1_12,16
B_120_2_8_210_1_13,15
B_120_2_8_210_1_15,9
B_120_2_8_210_1_16,6
B_120_2_8_210_1_17,75
B_120_2_8_210_1_19,7
B_122_1_18_154_2_8,10
B_122_1_19_154_2_8,9
B_122_1_20_154_2_8,8
B_122_1_21_154_2_8,6
B_122_1_22_154_2_8,13
B_128_3_3_48_1_49,16
B_128_3_4_48_1_24,6
B_128_3_4_48_1_29,8
B_128_3_4_48_1_30,12
B_128_3_4_48_1_32,8
B_128_3_4_48_1_41,12
B_128_3_4_48_1_42,19
B_128_3_4_48_1_44,7
B_128_3_4_48_1_45,7
B_128_3_4_48_1_47,6
B_128_3_4_48_1_49,96
B_128_3_4_48_1_50,16
B_137_4_1_11_1_32,8
B_137_6_1_88_1_4,9
B_137_7_2_47_1_1,6
B_137_8_3_215_1_3,7
B_138_2_3_170_2_1,6
B_142_1_1_75_1_4,10
B_147_3_3_148_1_46,6
B_147_5_2_148_1_41,6
B_147_6_100_148_1_41,32
B_147_6_103_148_1_41,11
B_147_6_111_148_1_41,6
B_147_6_112_148_1_41,10
B_147_6_115_148_1_41,11
B_147_6_117_148_1_41,6
B_147_6_120_148_1_41,35
B_147_6_122_148_1_41,17
B_147_6_124_148_1_41,17
B_147_6_19_148_1_41,6
B_147_6_50_148_1_41,20
B_147_6_55_148_1_41,18
B_147_6_56_148_1_41,8
B_147_6_57_148_1_41,8
B_147_6_59_148_1_41,6
B_147_6_67_163_1_4,6
B_147_6_71_148_1_41,6
B_147_6_72_148_1_41,6
B_147_6_76_148_1_41,124
B_147_6_76_218_1_5,18
B_147_6_86_148_1_41,15
B_147_6_91_148_1_41,7
B_147_6_94_148_1_41,7
B_147_7_118_135_1_3,6
B_147_7_123_148_1_41,11
B_147_7_125_218_1_5,6
B_147_7_140_218_1_5,6
B_147_7_145_218_1_5,9
B_147_7_153_218_1_5,18
B_147_7_157_148_1_41,7
B_147_7_157_218_1_5,8
B_147_7_160_148_1_41,9
B_147_7_162_148_1_41,11
B_147_7_164_148_1_41,8
B_147_7_166_148_1_41,7
B_147_7_166_148_1_46,9
B_147_7_166_218_1_5,7
B_147_7_167_148_1_41,12
B_147_7_171_29_1_6,10
B_147_7_172_148_1_41,29
B_147_7_175_218_1_5,13
B_147_7_176_148_1_41,6
B_147_7_177_148_1_41,24
B_147_7_178_148_1_41,6
B_147_7_180_218_1_5,13
B_147_7_181_148_1_41,6
B_147_7_182_148_1_41,27
B_147_7_184_135_1_4,11
B_147_7_184_148_1_41,19
B_147_7_184_218_1_5,26
B_147_7_188_148_1_41,21
B_147_7_188_218_1_5,6
B_147_7_189_148_1_34,6
B_147_7_189_148_1_41,6
B_147_7_194_148_1_41,12
B_147_7_194_218_1_5,9
B_147_8_15_148_1_41,6
B_147_8_16_148_1_41,6
B_147_8_17_218_1_5,6
B_147_8_25_148_1_41,9
B_147_8_32_148_1_41,6
B_147_8_8_148_1_41,7
B_147_9_26_148_1_41,11
B_147_9_30_148_1_41,7
B_147_9_33_148_1_41,6
B_147_9_34_148_1_41,21
B_147_9_34_148_1_46,10
B_148_2_10_148_1_41,8
B_148_2_5_148_1_41,9
B_148_2_7_148_1_41,8
B_148_3_4_148_1_45,7
B_148_4_2_148_1_41,7
B_148_5_3_148_1_41,18
B_148_5_8_148_1_41,20
B_150_2_1_148_1_41,7
B_150_3_4_142_1_6,6
B_150_3_6_142_1_3,29
B_150_3_6_142_1_6,37
B_152_1_2_213_1_1,9
B_156_1_7_148_1_41,25
B_156_1_7_148_1_46,16
B_160_3_1_161_1_3,13
B_18_2_1_73_1_1,6
B_19_2_9_148_1_41,10
B_19_3_3_218_1_5,6
B_20_2_2_202_1_1,6
B_20_2_3_202_1_1,10
B_21_3_13_154_2_3,6
B_21_3_13_154_2_8,19
B_39_2_22_210_1_22,7
B_39_2_23_210_1_22,6
B_39_2_24_210_1_22,6
B_45_3_4_210_1_15,6
B_47_1_3_16_1_6,10
B_48_3_3_148_1_20,14
B_70_2_1_163_1_5,7
B_72_2_10_11_1_29,6
B_72_2_10_11_1_31,11
B_72_2_11_11_1_29,31
B_72_2_11_11_1_31,13
B_75_1_1_148_1_40,7
B_82_1_3_148_1_37,7
B_82_2_3_148_1_41,6
B_82_2_4_148_1_41,11
B_82_2_6_148_1_41,6
B_82_3_1_148_1_41,10
B_82_3_2_148_1_41,7
B_82_4_1_148_1_41,39
B_82_4_2_148_1_41,7
B_82_8_2_148_1_41,9
B_82_9_8_148_1_41,9
B_89_3_10_148_1_41,12
B_89_3_8_148_1_41,38
B_89_3_9_148_1_41,7
B_89_3_9_148_1_46,11
B_89_4_5_148_1_41,8
B_89_4_7_148_1_41,18
B_89_6_4_148_1_41,56
B_89_8_3_168_1_3,10
B_90_1_6_148_1_41,9
B_90_4_4_148_1_41,7
B_91_4_16_148_1_41,10
B_92_1_4_148_1_41,23
B_94_5_7_148_1_41,6
B_96_6_23_205_1_14,9
B_96_6_25_205_1_14,9
B_96_6_29_205_1_9,8
B_97_1_10_11_1_18,8
B_97_1_10_11_1_22,10
B_97_1_10_11_1_26,32
B_97_1_10_11_1_29,22
B_97_1_10_11_1_31,13
B_97_1_10_11_1_32,7
B_97_1_11_11_1_33,8
B_97_3_3_11_1_22,24
